raw_symbol,instrument_id,date
ETHM3-ETHU3,13479,2023-10-15
ETHM3-ETHU3,13479,2023-10-16
ETHM3-ETHU3,13479,2023-10-17
ETHM3-ETHU3,13479,2023-10-18
ETHM3-ETHU3,13479,2023-10-19
ETHM3-ETHU3,13479,2023-10-20
ETHM3-ETHU3,13479,2023-10-21
ETHM3-ETHU3,13479,2023-10-22
ETHM3-ETHU3,13479,2023-10-23
ETHM3-ETHU3,13479,2023-10-24
ETHM3-ETHU3,13479,2023-10-25
ETHM3-ETHU3,13479,2023-10-26
ETHM3-ETHU3,13479,2023-10-27
ETHM3-ETHU3,13479,2023-10-28
ETHM3-ETHU3,13479,2023-10-29
ETHM3-ETHU3,13479,2023-10-30
ETHM3-ETHU3,13479,2023-10-31
ETHM3-ETHU3,13479,2023-11-01
ETHM3-ETHU3,13479,2023-11-02
ETHM3-ETHU3,13479,2023-11-03
ETHM3-ETHU3,13479,2023-11-04
ETHM3-ETHU3,13479,2023-11-05
ETHM3-ETHU3,13479,2023-11-06
ETHM3-ETHU3,13479,2023-11-07
ETHM3-ETHU3,13479,2023-11-08
ETHM3-ETHU3,13479,2023-11-09
ETHM3-ETHU3,13479,2023-11-10
ETHM3-ETHU3,13479,2023-11-11
ETHM3-ETHU3,13479,2023-11-12
ETHM3-ETHU3,13479,2023-11-13
ETHM3-ETHU3,13479,2023-11-14
ETHM3-ETHU3,13479,2023-11-15
ETHM3-ETHU3,13479,2023-11-16
ETHM3-ETHU3,13479,2023-11-17
ETHM3-ETHU3,13479,2023-11-18
ETHM3-ETHU3,13479,2023-11-19
ETHM3-ETHU3,13479,2023-11-20
ETHM3-ETHU3,13479,2023-11-21
ETHM3-ETHU3,13479,2023-11-22
ETHM3-ETHU3,13479,2023-11-23
ETHM3-ETHU3,13479,2023-11-24
ETHM3-ETHU3,13479,2023-11-25
ETHM3-ETHU3,13479,2023-11-26
ETHM3-ETHU3,13479,2023-11-27
ETHM3-ETHU3,13479,2023-11-28
ETHM3-ETHU3,13479,2023-11-29
ETHM3-ETHU3,13479,2023-11-30
ETHM3-ETHU3,13479,2023-12-01
ETHM3-ETHU3,13479,2023-12-02
ETHM3-ETHU3,13479,2023-12-03
ETHM3-ETHU3,13479,2023-12-04
ETHM3-ETHU3,13479,2023-12-05
ETHM3-ETHU3,13479,2023-12-06
ETHM3-ETHU3,13479,2023-12-07
ETHM3-ETHU3,13479,2023-12-08
ETHM3-ETHU3,13479,2023-12-09
ETHM3-ETHU3,13479,2023-12-10
ETHM3-ETHU3,13479,2023-12-11
ETHM3-ETHU3,13479,2023-12-12
ETHM3-ETHU3,13479,2023-12-13
ETHM3-ETHU3,13479,2023-12-14
ETHM3-ETHU3,13479,2023-12-15
ETHM3-ETHU3,13479,2023-12-16
ETHM3-ETHU3,13479,2023-12-17
ETHM3-ETHU3,13479,2023-12-18
ETHM3-ETHU3,13479,2023-12-19
ETHM3-ETHU3,13479,2023-12-20
ETHM3-ETHU3,13479,2023-12-21
ETHM3-ETHU3,13479,2023-12-22
ETHM3-ETHU3,13479,2023-12-23
ETHM3-ETHU3,13479,2023-12-24
ETHM3-ETHU3,13479,2023-12-25
ETHM3-ETHU3,13479,2023-12-26
ETHM3-ETHU3,13479,2023-12-27
ETHM3-ETHU3,13479,2023-12-28
ETHM3-ETHU3,13479,2023-12-29
ETHM3-ETHU3,13479,2023-12-30
ETHM3-ETHU3,13479,2023-12-31
ETHM3-ETHU3,13479,2024-01-01
ETHM3-ETHU3,13479,2024-01-02
ETHM3-ETHU3,13479,2024-01-03
ETHM3-ETHU3,13479,2024-01-04
ETHM3-ETHU3,13479,2024-01-05
ETHM3-ETHU3,13479,2024-01-06
ETHM3-ETHU3,13479,2024-01-07
ETHM3-ETHU3,13479,2024-01-08
ETHM3-ETHU3,13479,2024-01-09
ETHK3-ETHZ3,14002,2022-11-13
ETHK3-ETHZ3,14002,2022-11-14
ETHK3-ETHZ3,14002,2022-11-15
ETHK3-ETHZ3,14002,2022-11-16
ETHK3-ETHZ3,14002,2022-11-17
ETHK3-ETHZ3,14002,2022-11-18
ETHK3-ETHZ3,14002,2022-11-19
ETHK3-ETHZ3,14002,2022-11-20
ETHK3-ETHZ3,14002,2022-11-21
ETHK3-ETHZ3,14002,2022-11-22
ETHK3-ETHZ3,14002,2022-11-23
ETHK3-ETHZ3,14002,2022-11-24
ETHK3-ETHZ3,14002,2022-11-25
ETHK3-ETHZ3,14002,2022-11-26
ETHK3-ETHZ3,14002,2022-11-27
ETHK3-ETHZ3,14002,2022-11-28
ETHK3-ETHZ3,14002,2022-11-29
